"Date" "Frankfurt" "Berlin" "Bremen" "Munich" "Cuxhaven"
"1" 20000101 2.6 2 3.7 2.6 5.1
"2" 20000102 1.5 4 4.2 2.7 5.4
"3" 20000103 3.8 5 6.3 2.3 6.1
"4" 20000104 5.3 4.7 4.6 2.3 4.8
"5" 20000105 2.8 5.5 5.3 3.7 6.1
"6" 20000106 2.8 3.1 5.1 1.2 6.6
"7" 20000107 2.5 3.6 4.5 0.9 5.5
"8" 20000108 3.5 3.3 5.4 1.2 6.2
"9" 20000109 2.8 2.2 2.4 1.5 4
"10" 20000110 4 2.3 2.3 2.1 4.2
"11" 20000111 1.5 3.3 4.1 2.2 6.7
"12" 20000112 1.9 3.3 5.1 2.3 7.2
"13" 20000113 1.7 3.7 4.6 2.1 5.1
"14" 20000114 1.5 2.1 2.1 2.1 3.3
"15" 20000115 2.1 1.9 2.4 1 4.6
"16" 20000116 2.7 4.1 5.1 1.3 7.2
"17" 20000117 5.5 6.8 10.9 8 11.8
"18" 20000118 6.1 5.8 9.4 10.1 12.3
"19" 20000119 2.5 4.1 3.2 5.3 4.9
"20" 20000120 4.1 6.8 7.9 4.7 8.7
"21" 20000121 5.5 4.2 5.9 9.4 7
"22" 20000122 4.6 3.3 4 3.5 5.2
"23" 20000123 3.9 2.1 3.4 3.9 4.6
"24" 20000124 1.3 2.3 1.8 1.3 3.1
"25" 20000125 1 3.1 3.4 0.7 4.7
"26" 20000126 2.3 5.7 5.9 0.9 6.3
"27" 20000127 3.3 7 6.9 1 6.6
"28" 20000128 4.7 7.1 7.9 2.7 7.9
"29" 20000129 9.9 7.9 11.2 9.5 10.7
"30" 20000130 6.3 8.1 9.3 10.3 9.5
"31" 20000131 8.1 8.8 9.8 9.1 9.5
"32" 20000201 4.7 6.3 7.9 1.7 7.5
"33" 20000203 4.3 5.5 6.2 6.6 7
"34" 20000204 4.8 6.3 7.7 2.5 8
"35" 20000205 3.6 5.8 5.8 3.1 7.4
"36" 20000206 3.2 2.9 4.2 1 5.5
"37" 20000207 7.8 5 7.5 3.9 7.9
"38" 20000208 6.9 7.4 9.5 8.3 8.6
"39" 20000209 7.2 9.3 10.2 9 11
"40" 20000210 5.1 5.8 7 3.7 7.5
"41" 20000211 2.6 4.6 5.5 2.7 5.8
"42" 20000212 4.4 4.4 6.5 2.4 7.3
"43" 20000213 5.6 5.8 6.8 6.4 6.8
"44" 20000214 3 4.9 5.3 3.3 5.9
"45" 20000215 5.4 3.9 5.3 4.5 5.3
"46" 20000216 5.9 5.9 6.1 4.8 6
"47" 20000217 5.5 4 3.2 6 3.4
"48" 20000218 3.7 4.1 4.8 3.3 4.8
"49" 20000219 4.9 2.9 3.5 5.1 4.9
"50" 20000220 4.1 2.4 4.2 4.8 5.6
"51" 20000221 1.2 1.8 1.7 2.6 2.6
"52" 20000222 2.4 1.8 2.6 1.1 3.7
"53" 20000223 2.2 1.5 2.1 2.4 3.6
"54" 20000224 5.3 3.8 5 3.8 6.1
"55" 20000225 5.8 4.3 5.4 6.3 6.3
"56" 20000226 1 4.5 4.3 1.3 4.8
"57" 20000227 2.2 3.8 5.2 2 6.1
"58" 20000228 5.1 7.1 7.2 1.8 7.4
"59" 20000229 5.7 5.5 7.5 1.8 7.7
"60" 20000301 5.8 6.5 7 4.6 7.8
"61" 20000302 5.4 6.1 7.6 6 8.3
"62" 20000303 8.6 8.9 10.2 7.8 10.1
"63" 20000304 5.5 7.2 7.4 7.9 9.9
"64" 20000305 4.9 6.1 5.6 7 6.5
"65" 20000306 4.2 7.4 8.2 1.6 8.6
"66" 20000307 5.9 9.1 9.6 3.7 9.3
"67" 20000308 7.9 8.6 9.1 8.9 9.4
"68" 20000309 8.4 6.2 9.8 11 9.8
"69" 20000310 4.1 3.3 4.3 6.3 6
"70" 20000311 6.9 6.5 8.1 8 9
"71" 20000312 2.4 2.5 2.6 2.6 3.6
"72" 20000313 1.6 3.6 3.8 1.1 3.7
"73" 20000314 5.6 5.5 6.5 5.1 7.9
"74" 20000315 5.6 6.5 8.1 7.8 11.6
"75" 20000316 5.9 2.6 7.3 7.5 9.1
"76" 20000317 6 2.8 6.4 7.2 7.7
"77" 20000318 3.9 1.7 4.3 2.3 6.3
"78" 20000319 3.6 3.2 3.6 2.8 4.7
"79" 20000320 1.4 3.2 2.7 1.3 4.6
"80" 20000321 1.6 2.8 1.7 1.5 2.7
"81" 20000322 2 1.4 1 1.8 3.2
"82" 20000323 1.2 1.7 3.3 1.7 3.1
"83" 20000324 4.8 4.9 5.5 1.9 9.2
"84" 20000325 3.3 3.4 3 1.8 2.9
"85" 20000326 3.1 2.9 2.3 2.4 1.9
"86" 20000327 1.6 3.1 4 2.2 5.1
"87" 20000328 4.1 2.6 6.3 2.8 10.4
"88" 20000329 6.2 4.1 6.9 5.9 9.1
"89" 20000330 3 4.6 5.1 9.7 7
"90" 20000331 3.6 2.7 1.9 5.7 2.1
