"Date" "Frankfurt" "Berlin" "Bremen" "Munich" "Cuxhaven"
"91" 20000401 2 1.7 1.5 1.9 2.6
"92" 20000402 2.1 2.6 2.7 2.7 2.2
"93" 20000403 2.4 4.7 5.2 3 5.5
"94" 20000404 3.1 2.5 3.5 2.1 5
"95" 20000405 4.7 3.3 5.9 4 10.1
"96" 20000406 4.5 3.7 4.1 3.4 6.1
"97" 20000407 3 3.2 5.1 1.7 7
"98" 20000408 1.8 2.3 2 1.8 3.2
"99" 20000409 3.5 3.5 5.2 3.8 7
"100" 20000410 4.5 2.6 4.1 2.6 4.4
"101" 20000411 2.9 2.2 4.3 1.8 5.6
"102" 20000412 5.4 2.9 3.8 3.3 6.5
"103" 20000413 6.7 5.5 4.6 1.5 4.8
"104" 20000414 3.7 4.8 4.4 2.4 4.7
"105" 20000415 3.8 3.1 3.5 3.6 3.3
"106" 20000416 3.4 4 4.5 2.5 4.7
"107" 20000417 4.1 4.2 4.8 3.9 5.4
"108" 20000418 2.3 2.2 3.9 1.9 4.3
"109" 20000419 2.7 3.5 1.7 2.2 2.7
"110" 20000420 1.3 1.8 3.4 1.6 3.5
"111" 20000421 2.6 2.4 3.7 1.7 4
"112" 20000422 2.3 3.5 4.3 1.3 4.8
"113" 20000423 4.3 3.2 2 1.9 2.8
"114" 20000424 3.4 4.2 3.7 5.5 4.5
"115" 20000425 1.7 2.6 2.7 2.1 3.7
"116" 20000426 2.3 3.3 5.2 1.9 6.2
"117" 20000427 3 4.2 3.4 2.7 4.6
"118" 20000428 2.2 5.7 4.9 3 7.2
"119" 20000429 3.4 4.9 3.2 2.5 5.2
"120" 20000430 1.5 2.1 2.5 2.3 3.3
"121" 20000501 4.1 2.1 3.4 1.6 4.3
"122" 20000502 4.2 4.2 3.1 3.3 3.3
"123" 20000503 2.1 3.5 1.7 1.9 3.8
"124" 20000504 1.4 2.5 2.4 1.7 3.1
"125" 20000505 2.3 2.6 3.6 2.3 4.9
"126" 20000506 2.4 3 5 2.2 6.5
"127" 20000507 1.7 3.6 4.8 1.1 7.3
"128" 20000508 1.7 3.5 3.9 2 5.9
"129" 20000509 1.5 2.4 2.6 1.6 4.7
"130" 20000510 2.3 1.3 3.1 1.5 3.7
"131" 20000511 3.6 2.6 2.8 1.9 4.9
"132" 20000512 2.5 4.3 6.3 3 9
"133" 20000513 2.3 2.6 3.8 2.2 5.4
"134" 20000514 2 0.8 2.1 3.1 3.5
"135" 20000515 1.9 1.1 1.8 1.3 3
"136" 20000516 2.1 1.1 2.9 1 2.8
"137" 20000517 4.4 3.2 4 3.1 4.3
"138" 20000518 4.8 3.1 4.2 1.8 4.7
"139" 20000519 5.5 2.6 3.4 3.4 3.4
"140" 20000520 3.8 2.7 3.2 4.3 4
"141" 20000521 2.2 2.5 1.9 1.3 2.3
"142" 20000522 3.9 2 2.2 4.9 3.9
"143" 20000523 2.3 2.6 3.8 1.6 4.3
"144" 20000524 3.2 3.7 4.3 1.7 4.8
"145" 20000525 4.7 5 6.5 2.5 7.8
"146" 20000526 1.6 3.7 4.3 2.6 5.1
"147" 20000527 6.1 4.9 6.9 2.9 7
"148" 20000528 5.9 5.1 8.4 2.6 8.1
"149" 20000529 4.6 6.3 6.7 2.6 8
"150" 20000530 2.1 3.4 3.3 1.4 4.2
"151" 20000531 2.1 2.2 1.9 3.5 2.5
"152" 20000601 2.5 3.4 3.4 1.2 4.3
"153" 20000602 1.9 3.8 4.4 1.2 5.3
"154" 20000603 2.3 2.2 3.3 1.9 3.7
"155" 20000604 2.6 3.4 4.4 2 5.6
"156" 20000605 2.2 3 2.6 2.5 3.5
"157" 20000606 4.2 5.7 5.5 3.4 6.9
"158" 20000607 4.2 5.3 4.7 4.2 6.9
"159" 20000608 2.4 3.2 2.2 2.7 4
"160" 20000609 2.3 4.4 5.7 2.6 7.7
"161" 20000610 3.1 4.1 3.8 1.2 4.7
"162" 20000611 4.3 3 3.5 2.7 4.2
"163" 20000612 2.8 3.8 4.5 2.5 4.8
"164" 20000613 2.1 3.1 4.5 2 5.5
"165" 20000614 3.3 2.3 2 3.4 2.9
"166" 20000615 4.5 4.1 4.9 4.1 6.7
"167" 20000616 3.3 5.3 6 4.3 9.5
"168" 20000617 2.3 3.3 2.2 1.3 4.1
"169" 20000618 1.6 1.9 2.7 1.3 3.7
"170" 20000619 2.2 2 2.8 1.3 3.7
"171" 20000620 2 1.9 2.3 1.2 3.2
"172" 20000621 3.7 2.2 3.9 1.5 4.1
"173" 20000622 5.1 2.5 3.7 3.4 4.2
"174" 20000623 5.5 3.7 5 1.9 5.6
"175" 20000624 4.6 3.4 4.8 3.3 5.1
"176" 20000625 3.9 6.2 6.7 4.3 8.4
"177" 20000626 4 6.5 7 3.8 10.3
"178" 20000627 2.8 6.7 6.5 2.5 9.7
"179" 20000628 2.9 5.2 5.6 2.3 8
"180" 20000629 2.7 4.7 5.6 3.4 6.4
"181" 20000630 1.9 4.6 5 2.5 6
"182" 20000701 2.1 4.4 2.7 2.1 4.2
"183" 20000702 2.3 1.7 3 2.3 3.1
"184" 20000703 2.9 3.1 3.3 2.7 4.5
"185" 20000704 4.5 2.1 2.4 2.2 3.1
"186" 20000705 5.5 4.5 2.9 4.8 4.1
"187" 20000706 2.3 4 3.9 2.3 5.3
"188" 20000707 4.2 2.3 3.2 1.9 5.1
"189" 20000708 4.3 3.8 3.8 5.2 5.5
"190" 20000709 5.1 4.3 4.9 3.6 5
"191" 20000710 6.2 5 6.1 2.7 5.5
"192" 20000711 5.3 5.1 5.8 2.9 5.9
"193" 20000712 5.2 6.9 6.6 5.2 8.1
"194" 20000713 4.6 5.4 4 4.1 4.4
"195" 20000714 4 3.1 4.5 4.3 5.9
"196" 20000715 3.9 3.1 3.2 4 3.8
"197" 20000716 2.9 2 2.8 3.4 3.1
"198" 20000717 2.3 3.9 3.5 2.4 4.2
"199" 20000718 2.6 4.7 5.1 2.6 5.8
"200" 20000719 4.1 5.6 6.6 4.2 9.1
"201" 20000720 2.5 5.4 6.8 2.6 9.3
"202" 20000721 3.2 4.8 5.9 3.4 6.5
"203" 20000722 2.2 2.6 3.9 1.4 4.8
"204" 20000723 2.1 1.4 1.9 1.6 2.8
"205" 20000724 3.1 1.7 2.7 1.9 4
"206" 20000725 5.4 2.6 2.6 2.9 5.1
"207" 20000726 2.7 3.3 3.2 3.6 3.7
"208" 20000727 2 3 2.4 1.6 3.5
"209" 20000728 3.7 3.7 3.5 3.4 5
"210" 20000729 2.6 3.1 2.9 5.2 5.2
"211" 20000730 2.4 3.3 2.6 3.8 4.8
"212" 20000731 1.3 3.3 2.8 1.5 4.3
"213" 20000801 1.9 1.9 3.2 1 3.4
"214" 20000802 3.7 3.1 3.7 2 3.1
"215" 20000803 2.6 2.6 3.8 1.4 3.5
"216" 20000804 2.4 1.7 2.7 1 3.6
"217" 20000805 3.8 1.8 2 2 2.8
"218" 20000806 3.4 2.1 2.7 3.7 4.4
"219" 20000807 3 3.7 4.8 3.9 6.8
"220" 20000808 1.7 3.5 2.9 1.9 4.7
"221" 20000809 1.3 2.9 2 1.2 3.9
"222" 20000810 3.2 2 3.8 1.3 4.8
"223" 20000811 2 3.7 3.2 2.7 5.1
"224" 20000812 1.6 1.2 1.9 1 3
"225" 20000813 1.7 1.3 1.4 1.2 3
"226" 20000814 2 1.5 2.1 0.9 2.4
"227" 20000815 3.4 2.2 3.2 1.9 4.2
"228" 20000816 2.8 2.9 3.5 1.5 3.7
"229" 20000817 3.7 2.2 3.6 2.4 3.7
"230" 20000818 1.7 2 2.5 1.4 3.6
"231" 20000819 2.7 2.5 2.3 1.2 2.3
"232" 20000820 2.2 3.2 2.9 1.6 4
"233" 20000821 2.4 3.5 3.3 4 3.9
"234" 20000822 1.4 2.3 1.7 2 3.5
"235" 20000823 2.6 1.9 2.2 1.6 4.1
"236" 20000824 2.5 3.6 3.7 2 6.2
"237" 20000825 1.9 3.8 3.6 2.8 5.1
"238" 20000826 3.3 3.7 5.7 4.1 7.9
"239" 20000827 2.9 5.8 3.5 2.9 4.5
"240" 20000828 2.4 2.3 3.5 2.5 3.5
"241" 20000829 1.6 1.6 3.2 0.9 3.1
"242" 20000830 3 1.4 1.8 1.7 3.3
"243" 20000831 2.3 1.4 2.1 1.8 3.4
"244" 20000901 3 2.3 2.9 2.4 4.2
"245" 20000902 5.3 3.8 2.8 5.4 4.2
"246" 20000903 4.8 5.3 6.7 4.6 10.9
"247" 20000904 2.6 3.1 3.2 3.7 5.4
"248" 20000905 2.4 2.4 2.4 3 3.3
"249" 20000906 3.7 3.4 4.6 1.5 4.9
"250" 20000907 4.2 1.9 3.5 5.6 3.6
"251" 20000908 2.3 3.5 4.8 1.1 4.8
"252" 20000909 1.4 2.8 1.3 1.6 2.9
"253" 20000910 2 1.5 1.5 1 2.6
"254" 20000911 2.1 1.8 2.4 1.3 3.4
"255" 20000912 1.7 2.9 3.7 1.6 5.4
"256" 20000913 3.5 3 4.3 2.3 4.9
"257" 20000914 1.9 3 2.6 1.6 2.8
"258" 20000915 2.1 4.9 4.2 1.3 6
"259" 20000916 5.7 3.7 3.3 2.2 6.3
"260" 20000917 2.8 2.5 2 4.6 3.4
"261" 20000918 1.7 5 4.2 1.7 5.2
"262" 20000919 3.4 5.1 6.7 3.1 11.4
"263" 20000920 2.2 5.4 6.6 3 12.8
"264" 20000921 2.5 4.7 3.7 4.9 8.5
"265" 20000922 1.3 2.6 3.8 2.3 4.9
"266" 20000923 2.5 2.8 4.6 3.2 6.7
"267" 20000924 2.7 3.9 5 1.3 9.2
"268" 20000925 1.3 2.6 1.9 1.1 4.9
"269" 20000926 1.8 2.2 2.4 1.4 3.2
"270" 20000927 1.8 2.6 2.5 1.3 4
"271" 20000928 1.9 3 3.5 2.1 4.4
"272" 20000929 2.8 4.2 3.3 2.6 4.3
"273" 20000930 1.5 4.5 2.8 2.1 5.6
"274" 20001001 2.4 2.9 1.2 2.6 2.2
"275" 20001002 3.2 2.6 3.4 2.5 3.5
"276" 20001003 0.9 1.2 2.9 2.5 3.8
"277" 20001004 0.9 1.8 2.5 1.2 4
"278" 20001005 2 1 2.3 2 3.2
"279" 20001006 3.2 2.5 3.6 3.2 4.6
"280" 20001007 1.1 2.2 2 2.2 3.1
"281" 20001008 1.8 2.6 3.9 1.2 4.9
"282" 20001009 2.9 2.6 2.9 1.9 3.2
"283" 20001010 5.7 4.7 6.9 2.2 7.4
"284" 20001011 5.1 4.7 6.7 2.2 7.8
"285" 20001012 2.5 2.4 4.7 1.9 5
"286" 20001013 1.6 1.6 2.6 2.5 3.9
"287" 20001014 2.5 1.5 1.5 1.3 3
"288" 20001015 3.5 4 4 3.2 6.1
"289" 20001016 4.3 3.6 4.8 1.7 6
"290" 20001017 3.1 1.3 3 2.4 4.1
"291" 20001018 1.4 1.2 3 1 4.4
"292" 20001019 1.7 2.9 3.3 1 4.2
"293" 20001020 1.9 3.3 2.5 2 4.3
"294" 20001021 1.4 4.2 3.5 1.2 4.9
"295" 20001022 1.2 1.7 2.4 1 3.6
"296" 20001023 1.2 2.7 3.7 1.2 4.9
"297" 20001024 4 5.6 7 1.4 7.2
"298" 20001025 5.6 6 7 2.6 7.7
"299" 20001026 5 5.8 6.1 3.3 6.6
"300" 20001027 4.6 5.1 5.3 2.9 5.8
"301" 20001028 3.2 3.6 5.1 1.3 5.3
"302" 20001029 6.4 5.3 7.6 1.8 8.1
"303" 20001030 7.6 7.9 11.1 1.9 11.2
"304" 20001031 5.9 5.9 7.7 2.4 8.8
"305" 20001101 5.7 5 6.2 3 6.7
"306" 20001102 3.9 4.2 5.8 2.2 6.8
"307" 20001103 2.8 2.5 4.1 3.1 5.1
"308" 20001104 3.8 2.2 3.9 2.4 4.4
"309" 20001105 2.5 2.2 4.2 1.9 4.9
"310" 20001106 2.5 5.2 6.7 3.4 12
"311" 20001107 4.2 3.5 4.5 1.1 5.7
"312" 20001108 6 4.5 6.4 1.8 5.9
"313" 20001109 5.5 4.3 6.3 2.1 6.8
"314" 20001110 3.7 4.9 5.9 1.9 5.8
"315" 20001111 3 4.8 5.9 1.5 6.2
"316" 20001112 2.4 4.5 5.6 1.3 5.8
"317" 20001113 3.9 3.8 3 2.3 3.8
"318" 20001114 3.5 1.2 1.7 2.9 2.7
"319" 20001115 4 3 3.1 1.1 4
"320" 20001116 2.6 3.2 5.1 1.7 5.5
"321" 20001117 2.4 1.6 2.9 3.7 3.4
"322" 20001118 4.3 4.4 5.2 2.6 5.9
"323" 20001119 3.5 5.5 7.1 2.1 7.3
"324" 20001120 4 3.4 4.5 1.3 4.9
"325" 20001121 2.2 1.9 3.9 1.9 4.2
"326" 20001122 4.1 3.8 5.4 1.2 5.6
"327" 20001123 2 2.8 4.7 2.4 5.7
"328" 20001124 3.2 2.4 4 2.1 4.6
"329" 20001125 1.3 1.2 4.1 2.1 4.8
"330" 20001126 3.4 2.8 5.1 4.4 5.7
"331" 20001127 3.6 3.3 4.1 3.6 5.3
"332" 20001128 2.4 3.4 4.1 1.6 5.2
"333" 20001129 1.2 3 3.4 2 4.9
"334" 20001130 1.5 2.1 3.3 1.8 4.2
"335" 20001201 1.7 2.9 3.8 2 5
"336" 20001202 1.6 1.9 3.3 2.3 4.1
"337" 20001203 2.9 3 4.4 1.4 4.7
"338" 20001204 1.9 2.6 4.2 1.9 5.1
"339" 20001205 1.6 2.6 4 2.6 5.5
"340" 20001206 1.7 3.7 3 2 4.2
"341" 20001207 2.4 3.6 4.4 3.2 4.5
"342" 20001208 3.4 3.5 5.1 2.1 5.5
"343" 20001209 2.3 2.9 4.7 1.6 5.5
"344" 20001210 5.5 4 6 4.9 5.6
"345" 20001211 5.4 5.6 6.5 5.7 6.7
"346" 20001212 5.2 4.5 5.8 2.5 5.6
"347" 20001213 7.5 7.3 10.7 4.6 9.9
"348" 20001214 5.3 6 7.4 4.5 8
"349" 20001215 6.2 6.1 7.6 6.5 8.4
"350" 20001216 6.2 9 8.1 6.8 9.1
"351" 20001217 1.9 5.1 3.9 4.2 4
"352" 20001218 1.1 2.7 2.1 1.7 2.9
"353" 20001219 2.4 1.5 2.7 3.2 4.2
"354" 20001220 3.2 3.1 5.9 5.4 8.4
"355" 20001221 2.4 4.7 6.2 3.9 9.7
"356" 20001222 2.3 3.8 3.9 4.2 4.9
"357" 20001223 1.7 1.9 1.2 1.4 3.3
"358" 20001224 1.2 1.2 2.1 1.2 4.3
"359" 20001225 2.2 1.6 4 1.4 6.3
"360" 20001226 2.4 2.8 3.8 1.8 5.6
"361" 20001227 1.6 2.3 3.9 2.1 6
"362" 20001228 3.2 3.4 4.3 1.9 4
"363" 20001229 2.5 3.5 6.4 2.1 7.2
"364" 20001230 3.5 1.8 4.3 3.4 4.5
"365" 20001231 3.2 3.8 2.5 4.5 4.3
"366" 20010101 1.5 4.2 5.6 1.8 6.6
"367" 20010102 3.1 3.1 4 1.8 5.2
"368" 20010103 5.3 4.2 4.6 3.1 5.2
"369" 20010104 4 3.7 5.2 1.8 5.3
"370" 20010105 6.1 4.5 6.1 1.4 6.2
"371" 20010106 6.1 5.2 4.7 2 5.8
"372" 20010107 3.5 2.8 4.6 0.6 6.1
"373" 20010108 1.3 1.9 4.5 1.3 5.7
"374" 20010109 2.5 4.8 5.2 2.2 5
"375" 20010110 2 2.6 2.7 1 3.7
"376" 20010111 3.9 2.6 2.2 1.7 3.9
"377" 20010112 3.4 1.8 1.8 3.7 2.7
"378" 20010113 4.2 1.6 1.1 5.9 1.1
"379" 20010114 4.2 1.3 1.8 5.9 4.7
"380" 20010115 2.9 2.8 4.8 3.4 6
"381" 20010116 1.9 3.2 3.9 1.2 7.5
"382" 20010117 1.4 3.5 3.8 1.9 7.3
"383" 20010118 2.4 3.5 2.8 1.8 5.9
"384" 20010119 2.1 2.6 2.9 1.5 4.7
"385" 20010120 1.3 2.8 2.1 2.1 5.6
"386" 20010121 1.7 2.9 2.4 1.8 4.2
"387" 20010122 2.1 5.2 5.8 2.3 9.8
"388" 20010123 3.8 4.9 4.3 1.8 5.1
"389" 20010124 4.1 5.2 5.6 1.9 6.5
"390" 20010125 2 3 3.6 2.4 4.3
"391" 20010126 3.6 3.3 4.3 2.5 4.6
"392" 20010127 5.9 3.8 3.7 4.1 3.5
"393" 20010128 2.3 5.2 3.6 1.5 3.4
"394" 20010129 0.9 2.5 1.9 1.2 2.7
"395" 20010130 1.1 1.3 2.2 0.9 1.3
"396" 20010131 2.4 1.8 1.4 1.6 1.8
"397" 20010201 3 2.4 3.7 3.8 6
"398" 20010202 3.1 2.6 3.3 4.6 6.7
"399" 20010203 3.5 3.3 5.4 4.8 8.8
"400" 20010204 3 5.7 5.9 4.1 10.8
"401" 20010205 8.3 4.9 4.9 5.9 7.2
"402" 20010206 5.9 5.2 5.9 2.6 5.9
"403" 20010207 2.7 2.9 5.1 1.2 5.9
"404" 20010208 4.5 4.4 5 1.5 6.2
"405" 20010211 2.8 4.2 6.7 1 7.9
"406" 20010214 2.9 2.9 1.8 3.3 3.5
"407" 20010215 1.8 3 1.1 2.6 2.3
"408" 20010216 2.7 1.6 2.6 1.9 3.1
"409" 20010217 4.7 2.7 3.7 2.6 4.3
"410" 20010218 3.1 4 5.6 3.5 7.5
"411" 20010219 3.7 4.3 5.7 3.9 6.9
"412" 20010220 4.5 5.8 6.8 6.7 8.8
"413" 20010221 6 8.5 8.3 8.2 9.2
"414" 20010222 4.9 6.8 8.5 9.1 9.5
"415" 20010223 3.9 2 4.7 6.3 6.5
"416" 20010224 2.6 2.3 3.2 1.4 4.6
"417" 20010225 1.6 3.9 4.7 1.9 4.5
"418" 20010226 4.1 3.2 3.4 4.6 2.6
"419" 20010227 2.4 3.3 4.5 3.2 4.6
"420" 20010402 2.1 2.1 3.3 1.5 3.4
"421" 20010403 3.9 3.2 5 3 5.4
"422" 20010404 4.6 4 6.6 3.2 6.6
"423" 20010405 5.7 6.3 6.9 5.5 6.7
"424" 20010406 6.2 4.6 5.6 4.9 5.2
"425" 20010407 4.2 3.3 4.8 3.6 4.4
"426" 20010408 3.1 1.8 4 2.5 5.1
"427" 20010409 3.2 2.9 3.3 4.1 3.5
"428" 20010410 3.9 3.3 2.7 4.3 5
"429" 20010411 3.2 2.8 5.2 3.6 8.1
"430" 20010412 4.4 5.9 7 5.1 10.8
"431" 20010413 3.9 4.7 4.9 5 8.2
"432" 20010414 3.3 3.2 3.8 2.9 4.7
"433" 20010415 5.7 2.9 4.4 6.9 5.3
"434" 20010416 3.8 2.7 4.9 5 5.8
"435" 20010417 2.7 4 4.7 3.8 6.4
"436" 20010418 5 5.3 5.7 5.1 7.5
"437" 20010419 3.7 4.1 4.9 2.1 4.6
"438" 20010420 2 1.6 2.6 3 3.6
"439" 20010421 3.7 4.4 4.3 1.4 5.1
"440" 20010422 2.4 3.6 3.1 3.5 4.5
"441" 20010423 1.7 3 3.4 2 4.9
"442" 20010424 3.5 2.9 2.8 2 4.5
"443" 20010425 3.5 5 3.2 3.5 2.5
"444" 20010426 6 4.8 4.9 5.4 4
"445" 20010427 2.7 3.3 3.5 1.6 3.4
"446" 20010428 5 3.2 4.1 4.8 4.5
"447" 20010429 3.4 3.1 3.1 1.6 4.1
"448" 20010430 2.3 2.2 2.6 1.8 3.4
"449" 20010501 3.4 3.1 5.2 1.6 6.3
"450" 20010502 4.9 3.1 4.2 2.2 4.9
"451" 20010503 4.6 4.8 3.6 2.4 5.4
"452" 20010504 3.8 3.8 4.6 2.8 7.2
"453" 20010505 7.9 3.5 5.9 3.6 7.1
"454" 20010506 6.3 4 5.5 2.8 8.1
"455" 20010507 4.6 3.3 3.2 2.5 5.3
"456" 20010508 3 2.4 2.5 1.7 3.9
"457" 20010509 2.9 3 4.3 3.8 6.3
"458" 20010510 3.4 2.3 4.3 4.3 4.8
"459" 20010511 2.9 3.1 3.4 1.9 3.2
"460" 20010512 3.1 1.5 2.1 2.8 2.8
"461" 20010513 2.6 2 2.4 3.1 2.7
"462" 20010514 1.9 2.4 1.7 2.2 4.2
"463" 20010515 3 2.5 3.6 2 4.2
"464" 20010516 3.2 4.1 4.9 1.8 4.2
"465" 20010517 4.4 3.3 4.2 3 4.2
"466" 20010518 4.6 4.8 6.2 4.3 8.1
"467" 20010519 2.5 5.8 5.4 2.5 7.2
"468" 20010520 2.8 3.5 2.9 3 5.7
"469" 20010521 5.9 2.7 3.6 3.5 6.5
"470" 20010522 5.7 1.7 3.2 3.7 5.6
"471" 20010523 2.7 1.5 2.2 4.2 3.7
"472" 20010524 2.5 2.1 3.5 1.4 5.7
"473" 20010525 3.8 2.4 3 2.3 5.1
"474" 20010526 2.3 2.6 2 1.3 2.4
"475" 20010527 3.3 4.2 3.3 2.9 4.2
"476" 20010528 5.1 5.3 5.3 4.5 5.3
"477" 20010529 5.4 7.3 7.4 6 9.4
"478" 20010530 1.8 5 3.2 2.4 5
"479" 20010531 4.7 2.3 3.3 3.7 4.9
"480" 20010601 3.5 4.4 5.2 5.2 7.1
"481" 20010602 5.8 4.1 5.2 4.8 6.9
"482" 20010603 5.6 6.7 8.6 6.2 13.4
"483" 20010604 4.2 4.7 5.1 6.7 7.2
"484" 20010605 1.8 2.9 3.3 1.5 3.4
"485" 20010606 2.3 2.1 2.4 4.4 2.7
"486" 20010607 5.1 4 5.9 3.4 7.1
"487" 20010608 2.8 2.4 3.1 3.3 4.1
"488" 20010609 1.8 1.9 1.9 2.2 3.4
"489" 20010610 2.1 2.7 2.3 2.2 3.8
"490" 20010611 2.9 3.2 3.7 5.5 5.6
"491" 20010612 3.8 4 4.7 1.9 7.5
"492" 20010613 1.8 1.9 1.5 2 3.8
"493" 20010614 2.2 1.7 3.6 2.2 4.8
"494" 20010615 2.9 2 3.4 1.8 5.4
"495" 20010616 2.7 3.5 2.8 2.4 2.8
"496" 20010617 5.2 1.6 2.1 3.7 5.4
"497" 20010618 4.8 3 5.9 6.4 7.8
"498" 20010619 2.9 4.9 3.7 3.7 5.3
"499" 20010620 1.6 2.2 2.5 1.2 3.9
"500" 20010621 3.5 2 3.6 3.1 5.7
"501" 20010622 4.8 4.2 6.4 5.5 8.2
"502" 20010623 2 5.1 5.3 2.8 7.5
"503" 20010624 2.2 3.7 2.3 1.3 4.1
"504" 20010625 2.1 2.8 3.2 1.3 4.7
"505" 20010626 2.6 2.1 1.9 1.4 3.2
"506" 20010627 2.7 2.7 3.8 1.8 5.8
"507" 20010628 3 2.8 2.9 3.5 3.5
"508" 20010629 2.1 2.1 2.5 2.1 3.3
"509" 20010630 2.5 1.6 2.1 1.7 3.3
"510" 20010701 2.9 4.3 4.6 3.9 6.3
"511" 20010702 1.9 3 3.7 2.5 5.8
"512" 20010703 3 2.1 2.2 3.1 3.7
"513" 20010704 3.3 3.2 4.3 3.6 6.6
"514" 20010705 2.7 2.7 3.7 2.8 5.3
